,div yield,Trailing annual div yield,exDiv,payout ratio,5 year yield average,52W change,DGR,Years of grow,DGR3y,DGR5y,DGR10y
DOV,1.2899999500000001,1.2631976,2022-11-29,27.089999999999996,1.75,41.39747518393859,9.461768865475642,40,1.1888817682004584,6.77310953443345,8.819704242194863
LIN,1.4099999,1.3762988,2022-12-01,60.529999999999994,1.67,32.9842617422115,13.129312507831598,30,10.169063619883579,8.252645678467601,7.864924237835197
ECL,1.3599999999999999,1.2804418,2022-12-19,52.04,1.03,40.156285663816796,9.847286370402209,36,3.659263659263664,6.325891425081708,9.6613355329531
NUE,1.15,1.13765,2022-12-29,6.98,2.44,87.03260086523574,18.410029818975477,13,8.048374754769323,5.9906677014265055,3.3460583035699782
MSA,1.3200001,1.2788632,2022-11-14,106.51001,1.36,35.028770185880376,22.81772865115917,18,3.5358246564921614,5.729120511237982,5.190076823442986
SCL,1.2200001,1.1705101500000001,2022-11-29,20.21,1.09,27.36796376920065,7.704934078381572,35,10.154457155191032,10.278645979086303,8.996462335163177
CHD,1.2899999500000001,1.3005889,2022-11-14,34.78,1.24,49.25099344847073,13.713290782170933,32,4.8774645771213265,6.791278359985978,8.241356113023238
SEIC,1.35,1.2918288,2022-12-16,23.990000000000002,1.22,40.74605072305143,21.575928574308506,9,6.8730017259429035,7.435240553901808,3.746973854130571
GGG,1.3200001,1.2111454000000001,2023-01-17,31.580000000000002,1.17,29.708184090175592,33.364087096878485,18,10.345153664302599,12.142242574521408,10.97268076983463
EXPD,1.17999995,1.0515689,2022-11-30,13.159999,1.18,40.11570585844951,21.398154975522147,29,10.351900972590629,9.861934234348029,9.173030609237504
SYK,1.06,1.0036108,2022-12-29,45.95,1.07,51.90495458354292,40.65556930667458,13,9.9140279616998,10.193112948167645,12.159632667495394
CSL,1.17,0.9211395000000001,2023-02-16,14.29,1.21,46.90538259086446,8.814562214563868,35,12.972696158886476,12.54912996084415,13.114905304524996
GWW,1.15,0.9887946,2023-02-10,23.889999,1.61,57.07307331238554,10.703498172222767,37,6.0855029164888395,6.03110235162771,8.369436743186833
THFF,2.4300002000000003,2.3788351999999997,2023-01-05,21.190001,2.48,21.722711124266905,7.875113322260135,5,12.93205396978982,8.149485570527991,7.339059886779182
NDSN,1.06,0.8685605000000001,2022-12-19,24.740000000000002,0.88,29.946631679642106,10.845847055334728,36,17.083819275600096,15.518847570758169,15.64406301656563
JKHY,1.08,1.0577081,2022-11-30,38.45,1.06,26.613670209248124,16.156836511449143,31,6.999494438827093,9.692286026853365,16.405567686430867
CTAS,0.9900000000000001,0.9442233499999999,2023-02-14,34.17,1.0,37.473144958999875,22.69627350255092,1,-4.869001731746841,7.265289716748346,18.76540531901776
FUL,1.08,1.006135,2023-02-06,22.620001000000002,1.22,42.785639414737794,7.231128981723222,35,5.207633253123382,4.622444083057714,8.524483630749526
SHW,0.9900000000000001,0.9781945000000001,2022-11-17,31.09,0.83,45.29942162588502,12.108426434850132,37,16.9363999694304,16.676243901207563,16.996808420551357
FELE,0.95,0.8057676,2023-02-01,19.1,0.98,41.59855363042669,128.3709286774017,30,13.238804206546137,14.108917655080058,11.610754447820149
SPGI,0.95,0.8455997,2023-02-23,27.689999999999998,0.86,50.97402717536175,11.500458447499543,9,13.420480191886321,15.242532017570815,5.610804248323647
RNR,0.70999996,0.0,2022-12-14,,0.89,71.97352448892002,6.977037930069056,26,2.858699035169629,2.946280027162382,3.201394805795938
TR,0.8,0.77913576,2022-12-20,34.72,1.03,52.61956894225824,21.4469403107338,9,1.999850993947705,1.7999373073917737,-2.5711892052984657
BMI,0.76,0.71972907,2022-11-23,37.61,0.94,67.14717214429005,10.433715263958733,18,9.929511278195495,11.671992481203013,9.975015821481552
BRO,0.7799999999999999,0.71939994,2023-02-02,17.83,0.82,39.648518727722745,10.589478025025,36,9.751815126056783,8.577949100854756,9.547559686778623
ROP,0.63,0.58767777,2023-01-06,27.55,0.53,36.67071181595561,18.5132291886402,26,10.010737647312476,10.58757730826365,15.381667442010615
ALB,0.5499999999999999,0.54454594,2022-12-15,11.939999499999999,1.32,97.7518039616609,11.72405889572139,23,2.4001059327146277,4.347712813360123,7.18668894346681
WST,0.27,0.25542786,2023-01-24,8.7299995,0.34,105.40949128829735,7.036547178274732,36,5.353512214739127,5.927091510609364,7.048438561386101
RLI,0.7900001,0.7905442,2022-11-29,8.08,1.03,45.17623501785429,31.14970806871664,4,74.66314902690955,39.72182093378449,20.69575730392787
