,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score,Sector
AEE,0.0,66.93381100156027,0.4427361491797823,38.59719648426966,41.004012539878524,17.11151195615035,41.93548387096774,38.56923481934578,0.38978257026692587,0.11947844756318847,21.289949773026077,35.52269022881641,Utilities
AEG,79.68749999999999,73.50611221510606,0.03534448179083597,-37.18611953185251,,,62.903225806451616,23.049558127522566,-0.0023822304665042514,-0.0809910749966698,39.28727836321611,42.09315463817138,Financial Services
AEHR,0.0,,0.15520124354267992,84.13840914766378,38.093267601147865,89.50239831720475,43.548387096774185,1.0483179842532908,0.0627541099522715,0.1838454807773727,98.72057317680121,58.16939553456619,Technology
AEL,0.0,,0.10601682978975795,-2.8767342245618126,,,33.87096774193549,9.404102322826594,0.07866360261622768,0.4803037362538387,79.28065396181061,25.765884740932925,Financial Services
AEM,0.0,62.666685301869286,0.48516561663126434,67.11701734479196,30.827365431028138,67.70824547200739,82.25806451612902,52.37566683313551,0.4578398444405161,0.07283649568218707,62.04033614624135,60.619757165366906,Basic Materials
AEO,0.0,54.70434921558757,0.35289705976873237,13.673870916245386,31.127364089180904,26.500981644998866,48.38709677419355,8.511153853869367,0.09810853809439632,0.13943340596647208,61.87201918391266,33.96379482090722,Consumer Cyclical
AEP,0.0,73.33116599101174,1.0572990945509975,32.60337088804657,52.35818627050386,18.53562089969331,100.0,86.87438002113547,0.3853632667491604,0.13610495514670837,19.688286595896802,51.63018543896071,Utilities
AER,53.124999999999986,,0.42305080431393505,55.511499699834374,25.34397782265545,63.07738761215052,29.03225806451613,32.77541182267987,0.9466148135053915,0.05434988341978792,81.80145563652876,58.46923598866739,Industrials
AERT,0.0,,0.005317380195807808,59.886984392860555,23.813329868972914,30.2240140944064,4.838709677419355,0.07540668424807423,,,-42.917897038390194,12.364740619442534,Industrials
AES,0.0,69.96148684467585,0.34031289551263216,31.51016356946888,20.599435100642594,-4.50993726138011,53.2258064516129,23.707854771135413,-0.0026680981224847617,-0.1962454090467944,60.979046249927016,33.89715392004419,Utilities
AESI,0.0,74.40192130100444,0.04161842205965496,91.06886345951935,31.34767020046892,96.46897861174638,1.6129032258064515,3.609109579843402,0.0751281598020152,0.15252223904823223,,46.97168763027389,Energy
AEVA,21.249999999999996,,0.00928350106804345,40.50046314712766,-4.747690333390398,-39.774918219449475,6.451612903225806,0.49602603015771773,-0.0021281258834104652,-0.013162342013126055,-45.558300128995874,-6.8496950311828755,Technology
AFJK,0.0,,0.02620119599232336,,,,0.0,0.19677191579517958,,,,0.10960518291353204,
AFL,79.68749999999999,51.94142901580222,0.53201248942951,-9.681206969898346,,,70.96774193548387,100.0,0.6452183135937775,0.08974746120270045,75.75791905486973,70.30797763461317,Financial Services
AFMD,0.0,,0.002349031624278477,48.724026489874475,,,16.129032258064516,0.18297148755448747,-0.0027316242682582084,-0.0066333437628755786,-24.142906322514815,4.872255535817468,Healthcare
AFRM,0.0,,1.9947278673555053,75.96145110883772,50.33783293517789,63.02982895334631,4.838709677419355,26.214775758605853,-0.009687737230450624,-0.13263031007125595,98.43675980549975,54.28285892896865,Technology
AG,0.0,8.12924839743037,0.12958403726852655,64.67045237012054,13.217995493756069,-33.35788329925092,29.03225806451613,2.9875087488531333,-0.0018422582274299545,-0.08285370435869052,64.86716814798518,20.092198632321182,Basic Materials
AGCO,0.0,16.785071360412815,0.26003352364567806,39.16518172641572,19.617829799133347,45.793507331738795,51.61290322580645,19.44448731724846,1.3602616227682518,0.060610049007897335,82.32710923565085,41.55667010524268,Industrials
AGEN,0.0,,0.01883140882031541,87.18916002695134,-20.899265418935663,-46.27342296221886,38.70967741935484,0.4800172731649775,-0.002572808903824592,-0.007232755600945291,-27.256488074316515,-0.6626916310302199,Healthcare
AGFY,0.0,,0.01279152630685825,94.85922610413951,-8.721761691052947,79.5772618047915,4.838709677419355,0.0025914136329801877,7.727594131164929,6.258392606749807e-05,-47.125114760408536,20.191367586993874,Industrials
AGI,0.0,14.263351657893148,0.1023612727505515,9.681547823979768,26.999002389038534,-17.3107499126968,33.87096774193549,10.358256071854578,0.045076895881209125,0.18286950975858202,90.86804041389769,24.863405691986014,Basic Materials
AGIO,0.0,,0.07933329377856632,,,,17.741935483870968,2.5796375161089227,-0.012514650717369003,-0.054543001827735735,-33.65515084731921,-5.65825879527772,Healthcare
AGL,0.0,,0.20131063545775307,76.6409684004726,4.026603175898379,30.9578058890792,4.838709677419355,5.671852979631446,-0.0006987876035079138,-0.29563316662024536,-42.0695105238767,10.593590659356282,Healthcare
AGNC,0.0,91.87322485806982,0.48991587400108494,-47.732950791794174,,,25.806451612903224,14.48063325231719,0.0044193035177656,1.4983813781408972,-30.567884335279533,4.1595247925778835,Real Estate
AGR,0.0,79.30754248568604,0.08494682290330237,26.030813016290878,32.07329493101662,4.5144787547830045,14.516129032258066,24.822435423637415,0.12108891638677743,0.16827591173363007,-26.504199254597687,17.739511434165856,Utilities
AGRO,0.0,63.007501185675785,0.02161346732083485,58.82448619888372,35.22943819381844,44.57188835000482,20.96774193548387,2.269853041357538,0.12108891638677743,0.05581066681369475,69.49546732419252,41.813333173750244,Consumer Defensive
AHCO,0.0,,0.0218084278777016,85.78438740727502,12.782951228612701,87.80378249767547,9.67741935483871,2.031028827851861,-0.010767681708599217,-0.020452887039942667,88.59473028254574,49.038348592421485,Healthcare
AHG,53.124999999999986,,0.001677885092026092,,,,11.29032258064516,0.0744155995836184,-0.002572808903824592,-0.01870723127550089,-37.097188871899355,5.287887520952964,Healthcare
AHT,0.0,,0.003560566733501816,79.92799761350096,6.588178560471894,-37.62186675637458,33.87096774193549,0.11550164296025352,-0.02055070815771001,-0.0021772569198166194,-45.596835213097165,-0.36332461000129146,Real Estate
AI,0.0,,0.657325983987681,44.40422720107454,60.01702520747566,36.53619711870506,6.451612903225806,6.543100580774349,-0.00730550676394637,-0.11050555713218388,37.54649188732418,30.66109373849294,Technology
AIG,79.68749999999999,45.51991979258223,0.8754594461558786,30.032380000595737,,,82.25806451612902,100.0,0.5091037652465971,0.0925462035181474,76.94320559157318,77.54199195469931,Financial Services
AIMD,0.0,,0.008872246268738407,99.52635947909391,41.78576532406253,99.77349358797402,4.838709677419355,0.010438785134001738,-0.006193799212911054,-0.005328360197149327,-45.985275392255424,30.387163925557825,Healthcare
