,Years up,Div yield,Sector,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change
AM,0,7.4099995000000005,Energy,32107280.0,0.9945834996744896,63.710116321350085,-1.4646119697054427,7.0,5823715840.0,0.73,16.63013698630137,4.522865521600691
AMAM,1,,Healthcare,101931183.95896912,-23.089721122433527,,,1.0,1747181312.0,0.42,65.83333333333333,
AMAT,2,0.73,Technology,1071514402.9083252,16.23764450955495,46.31298383531293,18.344765034836605,44.0,144722001920.0,8.12,21.445812807881772,47.695207470012924
AMBA,0,,Technology,31703646.48363749,16.014447042525518,60.855430002024356,18.687893806586363,12.0,2293336832.0,-3.02,-18.867549668874172,32.154971403272235
AMBP,0,10.84,Consumer Cyclical,3519747.3821926117,16.568595889395343,14.096106985749424,-1.1008152431510099,3.0,2205144064.0,,,-33.44971595445975
AMC,0,,Communication Services,72102119.52957153,79.09915698181126,68.21708632372794,81.06310183351951,11.0,1024058304.0,-3.0,-1.3766666666666667,180.25166693859964
AMCR,0,5.37,Consumer Cyclical,74976075.51412582,5.756498870153851,19.87925250149557,2.5269985845695357,12.0,13456116736.0,0.66,14.106060606060606,1.4570610868370082
AMD,2,,Technology,14041915172.536926,55.97010690420281,45.89961547956009,58.06297975275916,44.0,288027475968.0,0.11,1620.8181818181818,75.58305086811393
AME,2,0.61000003,Industrials,145937454.8844401,16.529571397157085,34.45349270979522,18.038604829851113,40.0,37560229888.0,5.52,29.48188405797102,20.639804147014644
AMGN,3,2.9499999999999997,Healthcare,761777383.6016846,1.7535615704372343,75.53186132114901,1.6786400872260465,41.0,163496869888.0,14.05,21.743772241992882,8.69298870644117
AMH,0,2.5100000000000002,Real Estate,93372702.3428599,12.759529551858407,54.768681788575584,14.276409458675932,11.0,14486692864.0,1.04,33.69230769230769,16.057914119720024
AMJ,4,,,10962054.258728025,,,,15.0,,,,5.668656848428629
AMKR,2,0.95,Technology,28091977.434158325,18.533231201399758,18.85195215786133,22.28545324684551,26.0,8169328640.0,1.64,20.26829268292683,42.8067659889176
AMLI,0,,Basic Materials,528527.9806137084,,,,8.0,220629072.0,-0.15,-6.800000000000001,194.5499478934589
AMLX,0,,Healthcare,16884484.40322876,,,,2.0,970230784.0,0.01,1437.0,-60.16238169663897
AMN,0,,Healthcare,40788648.09631348,49.02272909446705,32.895948520603234,48.24226481775917,23.0,2840606464.0,6.9,10.894202898550724,11.124094168403257
AMP,6,1.39,Financial Services,209427505.40771487,9.564609793811629,,,19.0,39411793920.0,20.76,18.760115606936413,31.340051628976664
AMPE,0,,Healthcare,772610.4022741318,,,,14.0,1347874.0,-11.7,-0.13846153846153847,1.1920424117193875
AMPH,0,,Healthcare,30456837.085723873,19.557988609621525,45.490678429477235,31.969451404139605,10.0,2645446656.0,2.56,21.5703125,31.60858750406437
AMPS,0,,Utilities,5470745.388348897,49.73572600269139,80.59782756357095,53.48178893686628,3.0,885889408.0,0.54,10.24074074074074,-16.42652709141572
AMPX,0,,Industrials,3396454.8405806227,9.149131068878875,-107.53875570079128,70.18658424908423,2.0,380987168.0,-0.39,-11.05128205128205,-33.29129790206679
AMPY,1,,Energy,2901390.7826773324,51.66642378593406,40.08339718698358,397.9442826441517,12.0,241617600.0,9.32,0.6630901287553648,39.06774093681378
AMRC,0,,Industrials,12687404.717458088,33.920406644738485,17.68605620966829,24.539065988054677,14.0,1151770624.0,0.88,25.056818181818183,40.82219673559314
AMRN,1,,Healthcare,4083169.328727723,-20.860787614967,74.48986982878021,-25.899551915996526,31.0,469535776.0,-0.12,-9.583333333333332,-28.587780807475703
AMRX,0,,Healthcare,8110801.894896825,5.371323065061306,34.57873772104533,12.208793053229739,6.0,1664533888.0,0.06,90.5,16.364367266586548
AMSC,0,,Industrials,4920182.935676575,19.55901443542841,13.827729598204495,8.417488341606871,33.0,295605376.0,-0.87,-11.206896551724139,50.34889765655848
AMT,0,3.46,Real Estate,412796467.98889166,15.415193379329184,71.05638063295483,13.186573386882417,26.0,91722620928.0,1.5,131.17333333333332,9.51794620038323
AMTX,0,,Energy,2278574.993809064,24.523790875523144,2.7490883026989503,-98.85501895262031,18.0,131555976.0,-1.19,-2.7983193277310927,119.04646367243909
AMWL,0,,Healthcare,1363608.0541849136,6.360208300131331,39.82149507984164,14.920621495008056,4.0,319201600.0,-2.43,-0.45679012345679015,-58.88342506010317
AMX,0,2.97,Communication Services,25700502.992045086,1.7689541280167642,60.54795221619054,2.2155806637676467,23.0,57727868928.0,1.49,12.04026845637584,7.262941161994142
AMZN,2,,Consumer Cyclical,6961029075.821228,15.547441917665383,13.538215194398887,15.382514975232208,27.0,1621094563840.0,1.91,82.13089005235602,26.585265614836622
ANET,2,,Technology,406745488.99698895,37.91242788810545,62.937109012538485,34.59161679233529,10.0,81654415360.0,6.01,43.67221297836939,43.15421800583677
ANF,2,,Consumer Cyclical,161660003.76159668,1.5509518458502014,59.76595408878047,0.4007478346303143,28.0,5150938112.0,4.0,25.5475,65.1819464922455
ANGI,0,,Communication Services,1990357.5038909912,13.522581812170786,81.90045907897421,5.9605701091535295,13.0,1201957248.0,-0.18,-13.166666666666668,-18.04060373557822
ANGO,0,,Healthcare,4864119.414138794,8.651297395417819,53.653177643673544,5.05928827054174,20.0,239131200.0,-0.36,-16.666666666666668,-7.588555979570873
ANNX,1,,Healthcare,5684155.002683003,,,,4.0,347536576.0,-1.81,-2.453038674033149,-40.4283756026461
ANSS,0,,Technology,465371718.992513,10.868920217314626,86.97905225977422,11.656890233711758,28.0,29514473472.0,5.54,61.2942238267148,28.421127492074977
ANY,0,,Technology,3527672.3732995987,20.046444160545086,47.9930220517845,10.942236953797652,11.0,26126646.0,-13.58,-0.13402061855670103,21.636687304993018
AON,1,0.8099999999999999,Financial Services,353080222.35717773,6.2649782952709065,46.49131296162046,7.862034070305546,44.0,60877676544.0,13.17,23.087319665907366,16.761667855736594
AOS,0,1.59,Industrials,64189497.13668823,14.152232056319203,36.91252475411573,9.85871154673318,41.0,11946678272.0,2.01,39.96517412935324,18.78869454345433
APA,0,3.19,Energy,195951181.42299652,59.37132687486897,40.40584745703476,183.9275681243562,45.0,9506835456.0,5.01,6.261477045908184,18.579320497316075
APAM,0,5.59,Financial Services,21278244.71211751,8.680973335786774,51.42979453840881,7.963286979159601,11.0,2832307968.0,3.04,13.605263157894736,21.533279010643763
APD,0,2.7199999999999998,Basic Materials,319729537.2054036,12.932439555409214,30.14964340083754,7.950390851912426,44.0,57148153856.0,10.31,24.942774005819594,12.917647639362503
APG,0,,Industrials,55862507.67021179,38.14389667142628,23.681537518802685,53.37048024747706,4.0,7694694912.0,0.36,87.77777777777779,32.97334385740677
APH,0,0.8699999999999999,Technology,237805508.19458002,21.27223617689502,31.390213462582988,23.05209147571955,33.0,60225888256.0,3.11,32.366559485530544,21.08464115885252
APLD,0,,Financial Services,22573294.44343567,,,,2.0,583375104.0,-0.37,-12.91891891891892,266.30432874189694
APLE,0,5.9299998,Real Estate,37891942.74698893,43.88517676028535,30.380638198811635,102.87938290006156,9.0,3702097408.0,0.69,23.449275362318843,4.293380035136664
APLS,3,,Healthcare,140560143.84816486,-30.067113198787336,91.57368544587332,-29.53654682830421,7.0,7882619392.0,-5.23,-12.718929254302102,45.347923128433635
APLT,0,,Healthcare,6624378.116990725,,,,5.0,209291136.0,-1.25,-2.168,42.65655935039614
APO,2,1.7500000000000002,Financial Services,211439510.98388675,118.55444855729893,83.9322373683351,146.90715720430018,13.0,55665795072.0,2.63,37.29277566539924,35.823168501985876
APP,2,,Technology,128052744.4895172,46.67065529624741,60.58296297522846,44.02187610609462,3.0,14543584256.0,0.28,154.67857142857142,94.80688409785449
APPN,0,,Technology,14485618.618164062,23.988065242543655,71.39371887451846,24.544493683969648,7.0,2477306624.0,-1.86,-18.188172043010752,54.61769534182937
APPS,0,,Technology,8864779.113184612,84.5141004465952,43.87207136958327,100.36081287533342,18.0,578468672.0,-1.79,-3.189944134078212,172.1437179307714
APTV,0,,Consumer Cyclical,232676175.32714844,15.755687845567945,15.1705657468276,16.868070015066106,13.0,23500177408.0,8.03,10.346201743462018,14.16761433148568
AQMS,0,,Industrials,313816.08803749084,-18.751338043245557,-35933.813244844074,-7.357941207980972,9.0,62325540.0,-0.21,-2.7528571428571427,28.452105094022915
AQN,0,7.430000000000001,Utilities,26911129.887644447,28.59980583188053,71.11955819739913,21.983837480865486,15.0,4045420544.0,-0.36,-16.22222222222222,-2.6073386964910177
AQST,2,,Healthcare,2352083.3333333335,2.3337333202263055,67.19289542778347,-6.033156288831148,6.0,159573856.0,-0.22,-10.863636363636363,0.8300141674561019
AR,0,,Energy,119333064.94867961,65.50736110022657,25.992273040292385,-216.6727404629146,11.0,6774262272.0,2.75,8.196363636363635,58.59020939649398
ARAV,0,,Healthcare,182455.5995296687,26.84101407377415,,,10.0,3486872.0,-0.76,-0.06236842105263157,7.621641390010001
ARBK,0,,Financial Services,2747375.927219391,,,548.6661656498399,3.0,107322184.0,-4.26,-0.4366197183098592,77.58893141524496
